Identifiant;Nom;Catégorie;Année;Adresse;Lieu;Lien;Géolocalisation
91;Verdura;Composteur en résidence - copropriété;2013;22 av. Jose Maria de Heredia;Nantes;https://pom-e.compostri.fr/composteur/verdura;47.24574349914449, -1.5726994999378312
103;Jardin des Richolets;Composteur ouvert au quartier;2014;Rue de l'Orne/rue de Montargis;Saint-Herblain;https://pom-e.compostri.fr/composteur/jardin-des-richolets;47.21404199934632, -1.610240000320536
104;La Fontaine;Composteur en résidence - copropriété;2014;7 rue François Mauriac;Nantes;https://pom-e.compostri.fr/composteur/la-fontaine;47.24741099941377, -1.5707000003757283
134;La Source;Composteur ouvert au quartier;2015;Quartier de la source;La Chapelle-sur-Erdre;https://pom-e.compostri.fr/composteur/la-source;47.30603499932641, -1.5545679997670894
146;Ecole Port Boyer;Composteur Pédagogique en établissement scolaire;2016;"53, rue Eraudière
44300 Nantes";Nantes;https://pom-e.compostri.fr/composteur/ecole-port-boyer;47.23985999867, -1.5409749999317672
148;Cuisine Ecole Marcel Gouzil;Composteur Pédagogique en établissement scolaire;2016;Boulevard François Blancho;Couëron;https://pom-e.compostri.fr/composteur/cuisine-ecole-marcel-gouzil;47.21502799888544, -1.726848999575153
161;Les Tilleuls;Composteur en résidence - copropriété;2017;63 avenue de la Cholière;Orvault;https://pom-e.compostri.fr/composteur/les-tilleuls;47.24975399908999, -1.6056849997688667
190;Fraternité;Composteur en résidence - copropriété;2018;78 bd de la Fraternité;Nantes;https://pom-e.compostri.fr/composteur/fraternite;47.21866399901997, -1.5866499996830912
242;L'Allouée;Composteur en résidence - copropriété;2019;22 rue de l’Allouée;Nantes;https://pom-e.compostri.fr/composteur/lallouee;47.22940599943436, -1.5764039995639245
256;Jean de La Fontaine;Composteur ouvert au quartier;2019;8 rue jean de la Fontaine;Nantes;https://pom-e.compostri.fr/composteur/jean-de-la-fontaine;47.214589799273945, -1.561856299936355
262;Village Social Croix Rouge;Composteur en résidence - copropriété;;19/25 rue Bouchaud;Nantes;https://pom-e.compostri.fr/composteur/village-social-croix-rouge;47.21717399940963, -1.579869999618691
273;Lemel;Composteur ouvert au quartier;2020;rue Nathalie Lemel;Nantes;https://pom-e.compostri.fr/composteur/lemel;47.21723299902828, -1.5330440002373045
285;Les Soupirs;Composteur en résidence - copropriété;2020;11-13-15-15B rue  des Soupirs;Nantes;https://pom-e.compostri.fr/composteur/les-soupirs;47.23837699875851, -1.5455639998938049
311;Honoré Broutelle;Composteur en résidence - copropriété;2021;14 rue Honoré Broutelle;Nantes;https://pom-e.compostri.fr/composteur/honore-broutelle;47.22630999879904, -1.530283000516954
312;Namet;Composteur en résidence - copropriété;2021;rue Georges Chartrin;Nantes;https://pom-e.compostri.fr/composteur/namet;47.20244199909094, -1.539916000452693
315;Ravanel;Composteur en résidence - copropriété;2021;6 avenue Joseph Ravanel;Nantes;https://pom-e.compostri.fr/composteur/ravanel;47.20110299910141, -1.5301880002732409
321;Place de Village Paul Nizan;Composteur ouvert au quartier;2022;rue Paul Nizan;Nantes;https://pom-e.compostri.fr/composteur/place-de-village-paul-nizan;47.205166998657056, -1.5517899995483644
323;Le Jardin du Chêne;Jardin;2021;Rue Jacques Cartier - Rue Samuel de Champlain;Nantes;https://pom-e.compostri.fr/composteur/le-jardin-du-chene;47.25927599926581, -1.5742740006311766
388;Zola La Ferme du Rû;Composteur en résidence - copropriété;2022;35 rue de la Ferme du Rû;Nantes;https://pom-e.compostri.fr/composteur/zola-la-ferme-du-ru;47.21485099888976, -1.5889900005997868
410;Cimetière Sainte Anne Ancien;Composteur ouvert au quartier;2023;108 rue Amiral du Chaffault;Nantes;https://pom-e.compostri.fr/composteur/cimetiere-sainte-anne-ancien;47.20374099947268, -1.583696000231734
424;Saint Louis II Le Lou du Breil;Composteur en résidence - copropriété;2023;9 rue Michel Le lou du Breil;Nantes;https://pom-e.compostri.fr/composteur/saint-louis-ii-le-lou-du-breil;47.20831099873788, -1.571987999364533
435;Beau Soleil 2;Composteur ouvert au quartier;;28 rue Charles de Gaulle;La Chapelle-sur-Erdre;https://pom-e.compostri.fr/composteur/beau-soleil-2;47.304476099221006, -1.5588801001525927
438;Rotereaux 2;Composteur en résidence - copropriété;2023;109 rue des Carterons;Rezé;https://pom-e.compostri.fr/composteur/rotereaux-2;47.173231999157196, -1.5278710000099727
441;Sorinières;Composteur en résidence - copropriété;2023;4 rue Olympe de Gouges;Sorinières;https://pom-e.compostri.fr/composteur/sorinieres;47.151000998699644, -1.5229239993898664
444;Marie Anne Du Boccage;Composteur en résidence - copropriété;2023;32 rue Marie Anne Du Boccage;Nantes;https://pom-e.compostri.fr/composteur/marie-anne-du-boccage;47.21563799917917, -1.57198400016091
17;François Bruneau;Composteur en résidence - copropriété;2010;54 rue François Bruneau;Nantes;https://pom-e.compostri.fr/composteur/francois-bruneau;47.2294583994806, -1.5612924006386584
36;Jardin de la Crapaudine;Composteur ouvert au quartier;2011;avenue des Gobelets;Nantes;https://pom-e.compostri.fr/composteur/jardin-de-la-crapaudine;47.1920309990302, -1.5305379998070985
48;CSC Henri Normand;Composteur ouvert au quartier;2012;Place Cité;Couëron;https://pom-e.compostri.fr/composteur/csc-henri-normand;47.214705399015315, -1.6825396998414457
71;Ecole Alain Fournier;Composteur Pédagogique en établissement scolaire;;87 rue Bois Hardy;Nantes;https://pom-e.compostri.fr/composteur/ecole-alain-fournier-1;47.20394099931792, -1.6007110004467267
75;Ecole Henri Lesage;Composteur Pédagogique en établissement scolaire;2013;27 rue des Ecoles;Vertou;https://pom-e.compostri.fr/composteur/ecole-henri-lesage;47.18674279940919, -1.5003326994390136
81;Jardins partagés de Beautour;Composteur ouvert au quartier;2013;135 bis route de Nantes;Vertou;https://pom-e.compostri.fr/composteur/jardins-partages-de-beautour;47.17936599952319, -1.5059149996448882
113;Square Félix Thomas;Composteur ouvert au quartier;2014;rue Félix Thomas;Nantes;https://pom-e.compostri.fr/composteur/square-felix-thomas;47.231167999012555, -1.5533199998785387
117;Ça pousse en amont;Composteur ouvert au quartier;2015;1 allée Alain Gerbault;Nantes;https://pom-e.compostri.fr/composteur/ca-pousse-en-amont;47.20963999877083, -1.5253899997415765
130;Utrillo;Composteur ouvert au quartier;2015;rue Maurice Utrillo;Rezé;https://pom-e.compostri.fr/composteur/utrillo;47.180877499182124, -1.5616284997326233
173;Les Halliers;Composteur ouvert au quartier;2017;19 Rue des Halliers / 4 Rue du Bois Fleuri, 44200 Nantes;Nantes;https://pom-e.compostri.fr/composteur/les-halliers;47.18742099892906, -1.5124349997271127
195;Mathelin Rodier;Composteur en résidence - copropriété;2018;17 rue Mathelin Rodier;Nantes;https://pom-e.compostri.fr/composteur/mathelin-rodier;47.21730899944817, -1.551100000307476
199;Les Hespérides;Composteur en résidence - copropriété;2018;40 avenue des Hespérides;Nantes;https://pom-e.compostri.fr/composteur/les-hesperides;47.23337399876499, -1.5119129997791596
200;Du Muguet au Jardin;Composteur en résidence - copropriété;2018;3 rue des Perrines;Nantes;https://pom-e.compostri.fr/composteur/du-muguet-au-jardin;47.22813199921467, -1.5165660003934274
217;Moulin Neuf;Composteur en résidence - copropriété;2018;rue du Moulin Neuf;Nantes;https://pom-e.compostri.fr/composteur/moulin-neuf;47.23058999880413, -1.5153789994368447
224;Place du Village Moutonnerie;Composteur ouvert au quartier;2018;Parc de la Moutonnerie;Nantes;https://pom-e.compostri.fr/composteur/place-du-village-moutonnerie;47.22065999901327, -1.5335739994191595
230;Waldeck;Composteur ouvert au quartier;2019;Place Waldeck Rousseau;Nantes;https://pom-e.compostri.fr/composteur/waldeck;47.22751399939438, -1.5520850002422095
231;La Gagnerie;Composteur en résidence - copropriété;2019;1-3-5 avenue de la Baraudière;Saint-Herblain;https://pom-e.compostri.fr/composteur/la-gagnerie;47.23685299925788, -1.589316999925472
237;Guinaudeau;Composteur ouvert au quartier;2019;11 rue du Batonnier Guinaudeau;Nantes;https://pom-e.compostri.fr/composteur/guinaudeau;47.20967899933839, -1.5664970003405878
243;Barbonnerie 2;Composteur ouvert au quartier;2019;Pl. de la Barbonnerie, 44400 Rezé / Promenade d'Aïn Defla;Rezé;https://pom-e.compostri.fr/composteur/barbonnerie-2;47.19185499901902, -1.544261999484091
247;Versailles Chateaubriand;Composteur en résidence - copropriété;2019;6 quai de versailles;Nantes;https://pom-e.compostri.fr/composteur/versailles-chateaubriand;47.221651999099066, -1.554000999379203
251;Jacques Prévert;Composteur ouvert au quartier;2019;Espace vert Jacques Prévert;Couëron;https://pom-e.compostri.fr/composteur/jacques-prevert;47.22053899946896, -1.7306290004766516
269;Les Mimosas;Composteur en résidence - copropriété;2020;25 Avenue de Tahiti;Nantes;https://pom-e.compostri.fr/composteur/les-mimosas;47.24373199868728, -1.5719590002282784
270;Les Garettes 2;Composteur ouvert au quartier;2020;Chemin des Garettes;Orvault;https://pom-e.compostri.fr/composteur/les-garettes-2;47.27461199892255, -1.6265950004967473
277;Pomme Cannelle;Composteur en résidence - copropriété;;12 Rue Francis de Préssensé;Nantes;https://pom-e.compostri.fr/composteur/pomme-cannelle;47.22472599924425, -1.522313999389328
296;Castellano Clos du Cens;Composteur ouvert au quartier;;20-22 avenue Castellano;Nantes;https://pom-e.compostri.fr/composteur/castellano-clos-du-cens;47.248833998855446, -1.5721649997725398
308;Square Vertais 2;Composteur ouvert au quartier;2021;rue de Vertais;Nantes;https://pom-e.compostri.fr/composteur/square-vertais-2;47.2023779994125, -1.546298000032098
317;La Michaudière;Composteur en résidence - copropriété;2021;33-39 rue la Michaudière;Nantes;https://pom-e.compostri.fr/composteur/la-michaudiere;47.23574999912744, -1.5319220006189287
319;Place de Village Maison de quartier Doulon;Composteur ouvert au quartier;2022;1 rue de la Basse Chênaie;Nantes;https://pom-e.compostri.fr/composteur/place-de-village-maison-de-quartier-doulon;47.2366269987073, -1.5088239996080999
327;Nant'île;Composteur en résidence - copropriété;2021;Allée de l'île Tabor;Nantes;https://pom-e.compostri.fr/composteur/nantile;47.2056899991881, -1.5465189996050972
332;Wattignies;Composteur ouvert au quartier;;12 rue de la Porte Gelée;Nantes;https://pom-e.compostri.fr/composteur/wattignies;47.20391999947085, -1.5462300005532919
334;Tatiland;Composteur ouvert au quartier;2021;rue Jacques Tati;Bouguenais;https://pom-e.compostri.fr/composteur/tatiland;47.17930899867498, -1.6321720002824842
336;Résidence Brocéliande;Composteur en résidence - copropriété;2021;163-171 Bd Robert Schuman;Nantes;https://pom-e.compostri.fr/composteur/residence-broceliande;47.24224699911874, -1.575346000246673
343;Sully;Composteur ouvert au quartier;2021;Angle de la rue Cochard et de la rue du Préfet Bonnefoy;Nantes;https://pom-e.compostri.fr/composteur/sully-1;47.2226919993331, -1.5483570000004538
344;Benoni Goulin;Composteur ouvert au quartier;2021;Square Benoni Goulin;Nantes;https://pom-e.compostri.fr/composteur/benoni-goulin;47.202092999162545, -1.5512390001763596
345;Miroir d'eau;Composteur en résidence - copropriété;2021;1-5 avenue du miroir d'eau;Nantes;https://pom-e.compostri.fr/composteur/miroir-deau;47.231237999393734, -1.5466929994004852
347;Jardin Enchanté;Composteur ouvert au quartier;2022;6 rue des Becques 44230;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/jardin-enchante;47.20701799940646, -1.508350999968211
352;Square Prinquiau 2;Composteur ouvert au quartier;2021;101 Bd de l'Egalité;Nantes;https://pom-e.compostri.fr/composteur/square-prinquiau-2;47.212045999511254, -1.5865339998464627
358;L'Olympe;Composteur ouvert au quartier;2022;6 rue Olympe de Gouges;Sainte-Luce/Loire;https://pom-e.compostri.fr/composteur/lolympe;47.252703998770215, -1.4706570005444437
362;Parc de la Renaudière;Composteur en résidence - copropriété;2021;201 rue de la Renaudière;Nantes;https://pom-e.compostri.fr/composteur/parc-de-la-renaudiere;47.2498199988441, -1.5327459998913142
364;Cité des Hauts Pavés 2;Composteur ouvert au quartier;2021;6 rue d'Aunis;Nantes;https://pom-e.compostri.fr/composteur/cite-des-hauts-paves-2;47.22375899891673, -1.5659779998738816
365;Le petit écureuil;Composteur en résidence - copropriété;2022;11-13 rue des Hauts Moulins;Saint-Herblain;https://pom-e.compostri.fr/composteur/le-petit-ecureuil;47.22342699880773, -1.6084750000642016
366;La Longère de la Bégraisière;Composteur ouvert au quartier;2022;15 rue François Rabelais;Saint-Herblain;https://pom-e.compostri.fr/composteur/la-longere-de-la-begraisiere;47.23173599877973, -1.6151149995639227
372;Convention;Composteur en résidence - copropriété;2022;54 rue de la Convention;Nantes;https://pom-e.compostri.fr/composteur/convention;47.210677999083615, -1.5914710006269999
377;Les Champs Libres;Composteur ouvert au quartier;2022;Allée Hubertine Auclert;Nantes;https://pom-e.compostri.fr/composteur/les-champs-libres;47.19319099888782, -1.5328160001998248
386;Les Terrasses de Magellan;Composteur en résidence - copropriété;2022;7 rue de Rieux, 4-6 rue Vasco de Gama;Nantes;https://pom-e.compostri.fr/composteur/les-terrasses-de-magellan;47.21095199910014, -1.5438990004065711
401;Cailletière 2;Composteur en résidence - copropriété;2022;Domaine de la Cailletière;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/cailletiere-2;47.20543499867222, -1.520341999681005
425;Terrôgolf 2;Composteur en résidence - copropriété;2022;Allée Mozart;Saint-Herblain;https://pom-e.compostri.fr/composteur/terrogolf-2;47.23861799897831, -1.6046770002492046
440;L'îlot Coquelicots;Composteur en résidence - copropriété;2023;Rue Simone Signoret;Rezé;https://pom-e.compostri.fr/composteur/lilot-coquelicots;47.17424299920696, -1.5607060001253523
445;Parc Broussais 2;Composteur ouvert au quartier;;Place Gabriel Trarieux;Nantes;https://pom-e.compostri.fr/composteur/parc-broussais-2;47.22608959909094, -1.5222886995874239
