Identifiant;Nom;Catégorie;Année;Adresse;Lieu;Lien;Géolocalisation
89;Square Savelli;Composteur ouvert au quartier;2013;rue Poydras de la Lande;La Chapelle-sur-Erdre;https://pom-e.compostri.fr/composteur/square-savelli;47.29588089875932, -1.5501816004941673
93;Belle isle;Composteur en résidence - copropriété;2014;Asl belle isle Port Durant, 24 avenue du cristal;Nantes;https://pom-e.compostri.fr/composteur/belle-isle;47.2545664988205, -1.5367369005560425
118;Crèche de Bellevue;Composteur Pédagogique en établissement scolaire;2015;2 rue Etienne Coutan;Nantes;https://pom-e.compostri.fr/composteur/creche-de-bellevue;47.20559599868161, -1.60750599968736
124;Kanopé;Composteur en résidence - copropriété;2015;17 mail Pablo Picasso;Nantes;https://pom-e.compostri.fr/composteur/kanope;47.215099998890324, -1.5351000005961768
144;CSC L'allée verte;Composteur ouvert au quartier;2016;rue allée verte;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/csc-lallee-verte;47.19526199941678, -1.4901960004100736
151;La Grande Noue;Composteur en résidence - copropriété;2016;5 rue des Amandines;Nantes;https://pom-e.compostri.fr/composteur/la-grande-noue;47.23617299948375, -1.5209479999963014
152;Saint Pasquier;Composteur ouvert au quartier;2016;Place Emile Fritsch;Nantes;https://pom-e.compostri.fr/composteur/saint-pasquier;47.22876799918889, -1.5660540003612804
154;Val de Chézine;Composteur en résidence - copropriété;2016;52-58 bld du val de Chézine;Saint-Herblain;https://pom-e.compostri.fr/composteur/val-de-chezine;47.234771999320365, -1.6005000005538155
155;Les Perrières;Composteur ouvert au quartier;2016;3 rue Marie Curie;La Chapelle-sur-Erdre;https://pom-e.compostri.fr/composteur/les-perrieres;47.30918899927948, -1.5504420004235202
176;Jardin de la Boissière;Jardin;2017;Rue Blaise Pascal;Nantes;https://pom-e.compostri.fr/composteur/jardin-de-la-boissiere;47.25454599941981, -1.5684270003641145
185;Trentemoult 2;Composteur ouvert au quartier;2017;Quai Surcouf;Rezé;https://pom-e.compostri.fr/composteur/trentemoult-2;47.195309999310695, -1.578056999579563
198;Le Belem;Composteur en résidence - copropriété;2018;18-22 rue Paul Ramadier;Nantes;https://pom-e.compostri.fr/composteur/le-belem;47.20644399898891, -1.5310449994554698
206;I-Link;Composteur en résidence - copropriété;2018;22 Mail des chantiers;Nantes;https://pom-e.compostri.fr/composteur/i-link;47.20430499901499, -1.5681229997632333
215;Terrasses de l'Erdre;Composteur en résidence - copropriété;2018;16 Quai Henri Barbusse;Nantes;https://pom-e.compostri.fr/composteur/terrasses-de-lerdre;47.225353998804074, -1.5522390006175704
219;Paul Eluard;Composteur ouvert au quartier;2018;Chemin Paul Eluard;Bouguenais;https://pom-e.compostri.fr/composteur/paul-eluard;47.17229699929061, -1.6255339993664328
221;Clos du Tertre;Composteur en résidence - copropriété;2018;rue de la Mayenne;Saint-Herblain;https://pom-e.compostri.fr/composteur/clos-du-tertre;47.21216099897287, -1.6109800003447778
232;Val d'Erdre;Composteur en résidence - copropriété;2019;2 Bd des professeurs Sourdille;Nantes;https://pom-e.compostri.fr/composteur/val-derdre;47.23444399869013, -1.546062999315338
235;La Jaunaie;Composteur en résidence - copropriété;2019;117 rue de la Jaunaie;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/la-jaunaie;47.19369099890713, -1.49530900051836
266;Ecole Salengro;Composteur Pédagogique en établissement scolaire;2020;28 Rue Alexandre Huchon, 44400 Rezé;Rezé;https://pom-e.compostri.fr/composteur/ecole-salengro-1;47.18384099866518, -1.5480000002705612
293;L'Orée du Bois;Composteur en résidence - copropriété;2021;68 rue Condorcet;Nantes;https://pom-e.compostri.fr/composteur/loree-du-bois;47.222246998838976, -1.5831160001911309
305;La Reynière 2;Composteur ouvert au quartier;;38-42 chemin de Saint-Michel;Orvault;https://pom-e.compostri.fr/composteur/la-reyniere-2;47.254355998967526, -1.57954600035191
306;Les Impressionnistes;Composteur ouvert au quartier;2021;Avenue des Impressionnistes;Nantes;https://pom-e.compostri.fr/composteur/les-impressionnistes;47.1889069994024, -1.5352129997073778
337;Les Composteurs du Bocage Nantais;Composteur ouvert au quartier;2021;A l'angle de la rue du Coudray et de l'avenue Camille Guérin;Nantes;https://pom-e.compostri.fr/composteur/les-composteurs-du-bocage-nantais-1;47.23064599928949, -1.543497999862006
356;Les Garennes;Composteur en résidence - copropriété;2021;14 rue des Garennes;Nantes;https://pom-e.compostri.fr/composteur/les-garennes;47.20197799908147, -1.5801310006119995
376;Haute Ile 2;Composteur ouvert au quartier;2022;2 Quai de l'Echouage;Rezé;https://pom-e.compostri.fr/composteur/haute-ile-2;47.19660199909287, -1.5537600006591685
378;L'Orée de Paridis;Composteur en résidence - copropriété;2022;22 rue Félix Ménétrier;Nantes;https://pom-e.compostri.fr/composteur/loree-de-paridis;47.241486998742296, -1.526781999636493
381;Goudy 2;Composteur ouvert au quartier;2022;8 rue Gabriel Goudy;Nantes;https://pom-e.compostri.fr/composteur/goudy-2;47.19546899932795, -1.5407760004135955
382;Duguesclin 2;Composteur en résidence - copropriété;2022;41 rue du Lieutenant Marty;Saint-Sébastien-sur-Loire;https://pom-e.compostri.fr/composteur/duguesclin-2;47.19545499904352, -1.5239169997751636
389;Kindia;Composteur ouvert au quartier;2022;5 rue de Kindia;Orvault;https://pom-e.compostri.fr/composteur/kindia;47.25201899921366, -1.5949409999149373
390;Le Trait d'Oignon 2;Composteur ouvert au quartier;2022;16 rue de la Planche au Gué;Nantes;https://pom-e.compostri.fr/composteur/le-trait-doignon-2;47.26977499895308, -1.5218620004311976
391;Ecole Pauline Roland;Composteur Pédagogique en établissement scolaire;2022;29 rue du Lieutenant de Monti;Rezé;https://pom-e.compostri.fr/composteur/ecole-pauline-roland;47.18634899887809, -1.5578410003593801
